institution,actAvg,hsGpaAvg,satAvg,acceptanceRate,satEla50,satEla75,satMath50,satMath75,actComp50,actComp75,actEng50,actEng75,actMath50,actMath75
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern College,NA,3.6,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern Health Sciences University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern Michigan College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern Oklahoma State University,16,3.6,868,66,460,518,450,518,19,21,18,21,17,19
Northwestern State University of Louisiana,18,3.4,925,94,510,610,520,553,21,24,21,24,18,23
Northwestern University,33,NA,1490,7,760,770,780,800,34,35,35,36,34,35
Northwest Florida State College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Indian College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwest Missouri State University,18,3.5,970,87,550,593,545,600,22,24,22,24,22,24
Northwest Nazarene University,19,3.7,950,63,570,630,550,610,24,27,24,28,24,28
Northwest University,24,3.5,1040,88,600,700,550,650,NA,NA,NA,NA,NA,NA
Northwood University,NA,3.5,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norwich University,20,3.3,1043,74,600,650,590,670,NA,NA,NA,NA,NA,NA
Notre Dame of Maryland University,NA,3.4,980,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nova Southeastern University,21,3.9,1050,73,600,650,560,650,23,28,24,28,21,26
Nueta Hidatsa Sahnish College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oakland City University,17,NA,850,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oakland University,20,3.5,890,88,570,640,550,590,NA,NA,NA,NA,NA,NA
Oak Valley College,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oakwood University,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oberlin College,30,NA,1370,33,740,760,710,760,32,34,35,36,30,33
Occidental College,31,3.7,1360,40,720,750,720,770,33,34,34,35,30,33
Oglala Lakota College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oglethorpe University,24,3.6,1140,87,610,660,570,650,29,31,26,34,26,27
Ohio Christian University,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio Dominican University,20,3.4,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio Northern University,25,3.7,1180,73,630,690,630,710,26,29,25,29,26,29
Ohio Wesleyan University,25,3.7,1105,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma Baptist University,19,3.7,1000,47,580,630,560,610,18,19,17,19,16,17
Oklahoma Christian University,19,3.6,1000,97,560,640,570,630,22,26,23,27,22,26
Oklahoma City University,21,NA,NA,70,600,650,560,610,24,27,22,25,24,29
Oklahoma Panhandle State University,15,NA,800,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma Wesleyan University,17,NA,930,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old Dominion University,22,3.5,1110,91,610,650,580,630,26,29,25,29,25,28
Olivet Nazarene University,18,NA,960,58,560,620,540,600,23,26,22,26,22,26
Olympic College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oral Roberts University,19,NA,960,99,620,660,580,650,24,28,24,31,22,25
Oregon Institute of Technology,22,3.5,1045,92,580,650,570,620,23,27,21,25,21,25
Oregon State University,25,3.6,1160,79,650,700,640,700,27,31,27,32,26,30
Otis College of Art and Design,NA,NA,NA,83,685,720,625,675,NA,NA,NA,NA,NA,NA
Otterbein University,19,3.7,1026,83,NA,NA,NA,NA,25,28,24,28,24,27
Ouachita Baptist University,21,3.8,1060,69,590,650,580,630,25,28,25,29,23,26
Our Lady of the Lake University,NA,3.6,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ozark Christian College,NA,3.7,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pace University,24,3.3,1130,77,640,680,620,660,27,29,28,31,25,27
Pacific College,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific Lutheran University,21,3.7,1060,81,610,660,550,600,25,28,24,26,26,29
Pacific Oaks College,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific Union College,18,NA,990,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific University,17,3.7,990,92,580,630,550,610,20,29,21,27,19,26
Paine College,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palm Beach Atlantic University,19,NA,970,88,540,620,510,600,22,26,24,28,20,25
Palm Beach State College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parker University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Park University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pasco-Hernando State College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Henry College,27,3.8,1200,82,701,740,630,680,30,33,33,35,26,30
Paul Quinn College,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peirce College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peninsula College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania College of Technology,22,3,1030,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania Western University,20,3.4,940,94,540,580,520,560,21,25,20,24,22,24
Pensacola State College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pepperdine University,26,3.6,1250,50,680,710,690,740,31,32,33,35,28,32
Peru State College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pfeiffer University,14,3.2,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piedmont University,18,3.5,990,93,565,625,580,620,21,25,21,25,20,26
Pierce College District,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pillar College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburgh Technical College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburg State University,18,NA,NA,86,NA,NA,NA,NA,20,24,19,23,18,23
Pitzer College,NA,3.9,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plaza College,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plymouth State University,NA,3.1,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Point Loma Nazarene University,22,3.6,1140,82,645,695,615,670,28,32,29,34,26,28
Point Park University,19,3.5,1030,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Point University,13,NA,850,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polk State College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomona College,33,NA,1480,7,760,770,780,790,34,35,35,36,33,35
Pontifical College Josephinum,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland State University,19,3.4,1090,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Post University,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Presbyterian College,22,3.2,1080,72,560,620,540,580,23,26,23,26,22,26
Prescott College,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Princeton University,34,3.9,1500,4,760,780,790,800,35,35,35,36,35,36
Principia College,19,3.4,1040,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Providence Christian College,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Providence College,28,3.6,1250,49,670,700,660,690,31,32,31,34,28,32
Provo College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pueblo Community College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puerto Rico Conservatory of Music,NA,3.5,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Queens University of Charlotte,24,NA,1110,68,620,670,600,670,24,27,23,28,23,25
Quincy University,21,3.5,1070,50,530,600,550,600,22,25,21,25,22,24
Quinnipiac University,24,3.6,1100,77,620,660,610,660,28,30,28,32,27,29
Radford University,19,3.5,950,91,540,600,510,560,22,26,23,24,22,24
Ramapo College of New Jersey,21,3.5,1120,73,620,650,590,650,25,30,24,27,23,30
Randolph College,22,NA,930,95,590,620,565,590,22,26,21,25,20,21
Randolph-Macon College,22,3.7,1040,83,560,630,520,590,26,27,23,27,25,28
Ranken Technical College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Rocks Community College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reed College,30,NA,1320,31,730,750,690,770,33,34,34,35,31,34
Regent University,21,3.3,1050,41,600,650,530,600,25,26,25,26,23,25
Regis College,NA,3.4,960,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Regis University,20,NA,1020,76,NA,NA,NA,NA,25,29,24,29,25,31
Reinhardt University,NA,3.3,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rensselaer Polytechnic Institute,31,3.9,1360,59,710,740,740,770,33,34,NA,NA,NA,NA
Renton Technical College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Research College of Nursing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island College,NA,NA,860,81,510,580,480,540,NA,NA,NA,NA,NA,NA
Rhode Island School of Design,29,NA,1340,17,720,750,760,780,32,34,35,35,30,33
Rhodes College,27,NA,1318,50,695,733,690,753,29,32,31,34,26,30
Rice University,34,NA,1500,8,760,770,790,800,35,35,35,36,35,36
Rider University,22,3.4,1100,79,610,670,590,650,30,31,32,35,25,27
Ringling College of Art and Design,NA,3.5,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Hondo College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ripon College,20,3.4,1000,84,620,680,540,590,24,27,25,27,23,26
Rivier University,NA,NA,NA,84,550,590,520,585,NA,NA,NA,NA,NA,NA
Roanoke College,22,NA,1090,80,610,660,580,640,27,31,28,30,26,27
Robert Morris University,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roberts Wesleyan University,15,3.6,965,78,590,670,580,635,NA,NA,NA,NA,NA,NA
Rochester Institute of Technology,29,3.8,1280,71,680,720,690,740,32,33,32,35,30,33
Rockford University,17,3.1,850,57,490,535,450,535,20,23,20,23,20,24
Rockhurst University,19,3.6,1010,69,NA,NA,NA,NA,22,26,21,26,21,26
Rocky Mountain College,19,3.5,990,73,535,565,500,568,21,24,20,23,21,25
Rocky Mountain College of Art and Design,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rogers State University,17,3.4,940,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roger Williams University,24,3.5,1130,88,620,660,600,650,26,29,24,26,25,27
Rollins College,26,3.5,1185,41,640,690,620,680,27,30,27,32,25,27
Roosevelt University,21,3.1,930,94,520,600,465,575,23,26,21,26,22,26
Rose-Hulman Institute of Technology,NA,NA,NA,73,690,730,730,770,32,34,31,35,32,35
Roseman University of Health Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosemont College,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rowan University,26,3.4,1100,78,610,660,600,650,26,29,24,30,25,29
Russell Sage College,10,3.3,1010,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rust College,17,NA,440,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacred Heart Major Seminary,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacred Heart University,25,3.7,1170,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saginaw Valley State University,19,3.5,940,73,530,600,520,570,22,26,22,25,21,26
Saint Anselm College,25,3.4,1090,78,620,658,580,620,25,30,28,34,26,28
Saint Anthony College of Nursing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Augustine's University,2,3,704,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Edward's University,20,NA,1030,84,570,630,540,610,26,28,23,30,23,25
Saint Elizabeth University,NA,3,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Johns River State College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Johns University,22,3.5,1145,80,555,635,545,593,24,27,22,25,25,27
Saint Joseph's University,27,3.8,1150,86,630,680,620,670,29,31,30,32,27,28
Saint Leo University,20,NA,980,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Louis University,26,3.9,1210,81,650,700,655,710,28,31,29,34,27,30
Saint Martin's University,NA,3.5,970,65,565,610,550,620,19,20,17,21,15,20
Saint Mary-of-the-Woods College,NA,NA,875,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Mary's College,23,3.9,1040,81,590,680,630,645,28,30,29,33,26,28
Saint Mary's College of California,NA,3.6,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Mary's University of Minnesota,21,3.4,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Michael's College,22,NA,1150,92,620,660,590,620,28,31,28,33,26,28
Saint Peter's University,NA,3.2,905,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Vincent College,21,3.6,993,59,555,620,560,610,22,27,22,27,20,25
Saint Xavier University,NA,3.6,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salem College,18,3.7,930,87,610,643,550,600,19,22,16,24,16,22
Salem State University,NA,3.3,1020,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salem University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salisbury University,26,3.7,1180,89,630,670,620,650,27,29,26,30,24,26
Salish Kootenai College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salve Regina University,26,3.6,1160,70,620,680,600,650,28,29,28,33,25,27
Samford University,23,3.9,1070,82,590,640,560,610,25,28,25,30,24,26
Sam Houston State University,19,NA,910,85,530,570,510,550,20,24,22,26,18,22
Samuel Merritt University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego Christian College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego Mesa College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego State University,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco Bay University,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco Conservatory of Music,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco State University,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Jose State University,22,3.5,1050,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Juan Bautista School of Medicine,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Ana College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Clara University,30,3.7,1340,44,700,730,720,760,32,33,NA,NA,31,33
Santa Fe College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Monica College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarah Lawrence College,29,3.8,1270,59,690,740,670,690,30,31,32,34,27,28
Savannah College of Art and Design,21,3.6,1050,84,610,660,550,610,24,28,25,30,21,25
Savannah State University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
School of the Art Institute of Chicago,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
School of Visual Arts,21,3.4,1165,91,670,730,650,760,NA,NA,NA,NA,NA,NA
Schreiner University,18,3.5,845,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scripps College,32,NA,1420,34,750,770,750,770,33,34,35,35,30,32
Seattle Central College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Pacific University,18,3.5,1040,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle University,26,3.6,1210,75,660,710,650,720,27,30,27,34,27,30
Seminole State College of Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sentara College of Health Sciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seton Hall University,27,3.7,1220,79,660,700,650,690,30,32,31,34,27,30
Seton Hill University,21,NA,1070,76,560,620,550,620,23,27,NA,NA,NA,NA
Shasta College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shawnee State University,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw University,NA,2.7,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shenandoah University,26,3.7,1100,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shepherd University,19,NA,930,96,540,600,485,540,21,24,22,24,18,22
Shippensburg University of Pennsylvania,18,3.4,990,86,NA,NA,NA,NA,22,28,22,29,21,25
Shorter University,17,NA,900,97,580,620,530,580,22,25,20,25,18,21
Siena College,26,3.5,1093,71,620,680,600,680,31,33,NA,NA,NA,NA
Siena Heights University,20,NA,930,65,470,528,440,545,19,23,19,23,18,24
Simmons University,27,NA,1160,66,660,700,650,690,29,34,29,35,26,30
Simpson College,31,3.6,NA,89,NA,NA,NA,NA,32,33,33,34,29,32
Simpson University,NA,3.2,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sinte Gleska University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sitting Bull College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skagit Valley College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skidmore College,30,NA,1310,23,710,750,680,730,32,33,34,35,29,32
Skyline College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slippery Rock University of Pennsylvania,19,3.5,980,75,560,610,530,580,22,26,21,25,20,25
