displayName,schoolType,state,city,region,isPublic,displayRank,sortRank,ReligiousAffiliation
The University of Texas--Dallas,national-universities,TX,Richardson,,True,#109,109,
The University of Texas--El Paso,national-universities,TX,El Paso,,True,#266,266,
University of Texas Health Science Center--Houston,special-focus-research,TX,Houston,,True,Unranked,-2,
University of Texas Health Science Center--San Antonio,special-focus-research,TX,San Antonio,,True,Unranked,-2,
University of Texas Medical Branch--Galveston,special-focus-research,TX,Galveston,,True,Unranked,-2,
University of Texas Permian Basin,regional-universities-west,TX,Odessa,west,True,#61,61,
The University of Texas--Rio Grande Valley,national-universities,TX,Edinburg,,True,#220,220,
The University of Texas--San Antonio,national-universities,TX,San Antonio,,True,#231,231,
University of the Arts,specialty-arts,PA,Philadelphia,,True,Unranked,-2,
University of the Cumberlands,national-universities,KY,Williamsburg,,True,#392-434,-1,
University of the District of Columbia,regional-universities-north,DC,Washington,north,True,#147,147,
University of the Incarnate Word,national-universities,TX,San Antonio,,True,#288,288,
University of the Ozarks,regional-colleges-south,AR,Clarksville,south,True,#4,4,
University of the Pacific,national-universities,CA,Stockton,,True,#136,136,
University of the Potomac,specialty-business,DC,Washington,,True,Unranked,-2,
The University of the South,national-liberal-arts-colleges,TN,Sewanee,,True,#45,45,
University of the Southwest,regional-universities-west,NM,Hobbs,west,True,#105-115,-1,
University of the Virgin Islands,regional-universities-south,VI,St. Thomas,south,True,#88,88,
University of the West,national-liberal-arts-colleges,CA,Rosemead,,True,Unranked,-2,
The University of Toledo,national-universities,OH,Toledo,,True,#296,296,
University of Tulsa,national-universities,OK,Tulsa,,True,#179,179,
University of Utah,national-universities,UT,Salt Lake City,,True,#136,136,
University of Valley Forge,regional-colleges-north,PA,Phoenixville,north,True,#36,36,
University of Vermont,national-universities,VT,Burlington,,True,#121,121,
University of Virginia,national-universities,VA,Charlottesville,,True,#24,24,
University of Virginia's College at Wise,national-liberal-arts-colleges,VA,Wise,,True,#173,173,
University of Washington,national-universities,WA,Seattle,,True,#46,46,
University of Washington Bothell,regional-universities-west,WA,Bothell,west,True,#7,7,
University of Washington Tacoma,regional-universities-west,WA,Tacoma,west,True,#12,12,
University of West Alabama,regional-universities-south,AL,Livingston,south,True,#82,82,
University of West Florida,regional-universities-south,FL,Pensacola,south,True,#23,23,
University of West Georgia,national-universities,GA,Carrollton,,True,#371,371,
University of Wisconsin--Eau Claire,regional-universities-midwest,WI,Eau Claire,midwest,True,#20,20,
University of Wisconsin--Green Bay,regional-universities-midwest,WI,Green Bay,midwest,True,#64,64,
University of Wisconsin--La Crosse,regional-universities-midwest,WI,La Crosse,midwest,True,#28,28,
University of Wisconsin--Madison,national-universities,WI,Madison,,True,#39,39,
University of Wisconsin--Milwaukee,national-universities,WI,Milwaukee,,True,#315,315,
University of Wisconsin-Oshkosh,national-universities,WI,Oshkosh,,True,#359,359,
University of Wisconsin--Parkside,regional-universities-midwest,WI,Kenosha,midwest,True,#118,118,
University of Wisconsin--Platteville,regional-universities-midwest,WI,Platteville,midwest,True,#60,60,
University of Wisconsin--River Falls,regional-universities-midwest,WI,River Falls,midwest,True,#48,48,
University of Wisconsin--Stevens Point,regional-universities-midwest,WI,Stevens Point,midwest,True,#41,41,
University of Wisconsin--Stout,regional-universities-midwest,WI,Menomonie,midwest,True,#79,79,
University of Wisconsin--Superior,regional-universities-midwest,WI,Superior,midwest,True,#124,124,
University of Wisconsin--Whitewater,regional-universities-midwest,WI,Whitewater,midwest,True,#34,34,
University of Wyoming,national-universities,WY,Laramie,,True,#220,220,
Upper Iowa University,regional-universities-midwest,IA,Fayette,midwest,True,#149-164,-1,
Ursinus College,national-liberal-arts-colleges,PA,Collegeville,,True,#83,83,
Ursuline College,regional-universities-midwest,OH,Pepper Pike,midwest,True,#109,109,
Utah State University,national-universities,UT,Logan,,True,#259,259,
Utah Tech University,regional-colleges-west,UT,Saint George,west,True,#36,36,
Utah Valley University,regional-universities-west,UT,Orem,west,True,#96,96,
Utica University,regional-universities-north,NY,Utica,north,True,#81,81,
Valdosta State University,national-universities,GA,Valdosta,,True,#392-434,-1,
Valencia College,regional-colleges-south,FL,Orlando,south,True,Unranked,-2,
